Russian	Pronouncing	Farsi	Counts
Кто?	če kas-i?	ﭼﻪ ﮐﺴﯽ؟	1
Что?	če čiz-i?	ﭼﻪ ﭼﯿﺰی؟	1
Где?	kojā?	ﮐﺠﺎ؟	1
Куда?	kojā?	ﮐﺠﺎ؟	1
Откуда?	az kojā?	از ﮐﺠﺎ؟	1
Когда?	če vaqt?	ﭼﻪ وﻗﺖ؟	1
Зачем?	čerā?	ﭼﺮا؟	1
Почему?	čerā?	ﭼﺮا؟	1
Для чего?	barā-ye če?	ﺑﺮای ﭼﻪ؟	1
Как?	četor?	ﭼﻄﻮر؟	1
Какой?	kodām?	ﮐﺪام؟	1
Который?	kodām?	ﮐﺪام؟	1
Кому?	barā-ye ki?	ﺑﺮای ﮐﯽ؟	1
О ком?	dar bāre-ye ki?	درﺑﺎره ﮐﯽ؟	1
О чём?	darbāre-ye či?	درﺑﺎره ﭼﯽ؟	1
С кем?	bā ki?	ﺑﺎ ﮐﯽ؟	1
Сколько?	čeqadr?	ﭼﻘﺪر؟	1
Чей? Чья? Чьи?	māl-e ki?	ﻣﺎل ﮐﯽ؟	1
