Russian	Pronouncing	Farsi	Counts
с … (с кем-л.)	bā	ﺑﺎ	1
без (~ сахара и т.п.)	bedune	ﺑﺪون	1
в (предлог движения)	be	ﺑﻪ	1
о (говорить о …)	rājeʿ be	راﺟﻊ ﺑﻪ	1
перед (во времени)	piš az	ﭘﯿﺶ از	1
перед (в пространстве)	dar moqābel	در ﻣﻘﺎﺑﻞ	1
под (внизу)	zir	زﯾﺮ	1
над (наверху)	bālā-ye	ﺑﺎﻻی	1
на (на чём-то)	ruy	روی	1
из (откуда-то)	az	از	1
из (о материале)	az	از	1
через … (о времени)	tā	ﺗﺎ	1
через (о препятствии)	az bālāye	از ﺑﺎﻻی	1
